排名,特征名称,置换重要性,贡献度(%),基尼重要性
1,小时,0.3617961705582478,34.250958840148044,0.45658156535635686
2,消费类目,0.3247676985755778,30.745502528006618,0.004724381323592906
3,时段,0.23674598684819942,22.41255632583437,0.00579077880201668
4,是否高频小额,0.07113425954415745,6.734224389417884,0.00028667078531396126
5,前3天平均消费,0.03894608920797058,3.6869956262629233,0.005251467649620588
6,日期,0.03674132403990558,3.478272242300436,0.009449103349359132
7,星期,0.030614786568583453,2.8982777596637126,0.0046494866281801914
8,是否发薪日前后,0.0031743903272009487,0.3005170349696095,0.0018450580649404065
9,是否月末,0.00012632883939167616,0.011959451841769456,1.9490125540878686e-06
10,是否必要消费,0.0,0.0,0.14458089232578808
11,是否异常消费,0.0,0.0,0.2704604775214505
12,是否低频大额,0.0,0.0,0.08877688322664573
13,是否月初,-0.002516914601011533,-0.23827432521023517,2.557649913557493e-05
14,月份,-0.0063914778933582776,-0.6050761839611183,0.0052013280434408645
15,是否周末,-0.0072573394615914385,-0.6870466174487371,0.00014735468488454462
16,前7天平均消费,-0.03157169018072812,-2.988867071825267,0.002227026726719827
